635nm,520nm,405nm,jihe,cat,real
29.6905,29.6772,29.6554,29.9894,0,30.0013
29.7179,29.7063,29.6852,30.0019,0,30.0114
29.7037,29.6898,29.6677,30.0108,0,30.0185
29.719,29.708,29.6881,30.0199,0,30.0282
29.7552,29.744,29.7226,30.0298,0,30.0401
29.754,29.7426,29.7215,30.0384,0,30.0501
29.749,29.7377,29.7168,30.0505,0,30.0592
29.7633,29.753,29.7334,30.0584,0,30.0704
29.7775,29.7672,29.7471,30.0681,0,30.0813
29.7734,29.7602,29.7393,30.0818,0,30.0907
29.7864,29.774,29.754,30.0901,0,30.0976
29.8044,29.7929,29.7712,30.1,0,30.1095
29.8211,29.8103,29.7897,30.1105,0,30.1163
29.8229,29.811,29.7891,30.1194,0,30.1333
29.8394,29.8279,29.8076,30.1296,0,30.1414
29.8346,29.8207,29.7984,30.1403,0,30.1504
29.8632,29.8493,29.8297,30.1485,0,30.1584
29.8703,29.8573,29.8352,30.1588,0,30.1709
29.8638,29.8507,29.8295,30.1709,0,30.1791
29.8722,29.859,29.8385,30.179,0,30.1907
29.9035,29.8926,29.8702,30.1904,0,30.1967
29.9185,29.9085,29.8885,30.199,0,30.2107
29.9306,29.9195,29.8973,30.2091,0,30.2217
29.9439,29.9321,29.9102,30.2187,0,30.2298
29.9462,29.9324,29.9106,30.2295,0,30.2419
29.9363,29.9259,29.9038,30.2387,0,30.2517
29.9497,29.9362,29.9147,30.2506,0,30.2575
29.9559,29.9447,29.9244,30.2586,0,30.2695
29.9978,29.9866,29.9668,30.2682,0,30.2813
29.9715,29.9595,29.9372,30.2814,0,30.2924
29.9896,29.9758,29.9561,30.2916,0,30.3028
30.016,30.0055,29.9851,30.2988,0,30.3118
30.023,30.0116,29.9892,30.3115,0,30.3205
30.0413,30.0274,30.0049,30.318,0,30.3313
30.0427,30.0313,30.0117,30.3295,0,30.3422
30.0564,30.0461,30.0258,30.3407,0,30.349
30.0724,30.0605,30.0383,30.3482,0,30.3613
30.0721,30.0582,30.0365,30.361,0,30.3698
30.0923,30.0809,30.0598,30.3701,0,30.3806
30.1074,30.0941,30.0721,30.3809,0,30.3888
30.1158,30.1046,30.0828,30.3899,0,30.3995
30.1187,30.106,30.0851,30.3989,0,30.4082
30.1319,30.1214,30.0994,30.4105,0,30.4225
30.113,30.1017,30.0814,30.4214,0,30.429
30.1534,30.1434,30.1238,30.4286,0,30.4412
30.1427,30.13,30.1077,30.4398,0,30.4493
30.1544,30.1418,30.1198,30.4509,0,30.4601
30.1523,30.1398,30.1202,30.4592,0,30.4691
30.1732,30.1628,30.1412,30.4706,0,30.4787
30.1752,30.1631,30.143,30.4802,0,30.4865
30.2098,30.1973,30.1756,30.4895,0,30.4968
30.2289,30.2177,30.1956,30.5002,0,30.5097
30.2024,30.1901,30.1701,30.5082,0,30.52
30.2446,30.2341,30.2131,30.5203,0,30.5287
30.2497,30.2386,30.2172,30.5299,0,30.538
30.2514,30.2392,30.2171,30.5388,0,30.5506
30.2534,30.2423,30.2206,30.5511,0,30.5561
30.2515,30.24,30.2178,30.5608,0,30.5713
30.2638,30.2537,30.2337,30.5715,0,30.5794
30.2808,30.2694,30.2487,30.5784,0,30.592
30.2806,30.2695,30.2485,30.5912,0,30.6015
30.319,30.3088,30.287,30.5992,0,30.6097
30.3076,30.297,30.2747,30.6111,0,30.6225
30.3106,30.2999,30.2777,30.6203,0,30.6325
30.3531,30.3413,30.3189,30.6314,0,30.6399
30.3526,30.3406,30.3209,30.6399,0,30.649
30.3759,30.3631,30.3407,30.651,0,30.6596
30.3647,30.3519,30.3318,30.6592,0,30.6717
30.3614,30.3483,30.3268,30.6688,0,30.6831
30.3826,30.3707,30.3491,30.6796,0,30.6927
30.3944,30.3815,30.3616,30.6917,0,30.7022
30.4056,30.3926,30.3719,30.7008,0,30.7121
30.4174,30.4064,30.3862,30.7081,0,30.7204
30.4182,30.407,30.3865,30.7183,0,30.7325
30.4588,30.4453,30.4245,30.7314,0,30.7417
30.464,30.4532,30.4313,30.7387,0,30.7483
30.4429,30.4325,30.4111,30.7484,0,30.7605
30.4526,30.4408,30.4205,30.7591,0,30.7718
30.488,30.4779,30.4555,30.7703,0,30.7788
30.4879,30.4751,30.453,30.7799,0,30.79
30.4906,30.4781,30.458,30.7889,0,30.8009
30.4924,30.4791,30.457,30.8014,0,30.8115
30.5255,30.5138,30.4919,30.8116,0,30.8197
30.5312,30.5174,30.4963,30.8183,0,30.8325
30.5445,30.5329,30.5108,30.8313,0,30.8407
30.5361,30.5257,30.5041,30.8411,0,30.8506
30.5407,30.5272,30.5052,30.8499,0,30.8575
30.57,30.5576,30.5352,30.862,0,30.87
30.5606,30.5475,30.5265,30.8718,0,30.88
30.6027,30.591,30.5698,30.8785,0,30.8926
30.6004,30.5893,30.5672,30.8905,0,30.9029
30.603,30.5926,30.5715,30.9,0,30.9124
30.6276,30.615,30.5952,30.9111,0,30.9212
30.6171,30.6035,30.5817,30.921,0,30.9278
30.6321,30.6198,30.5979,30.9309,0,30.9387
30.6427,30.6324,30.6102,30.9408,0,30.9504
30.6686,30.6553,30.6353,30.9516,0,30.9598
30.689,30.6772,30.6547,30.9588,0,30.9693
30.6981,30.6876,30.6655,30.968,0,30.9814
30.6885,30.6766,30.6555,30.979,0,30.9875
30.7089,30.697,30.6767,30.9909,0,30.9994
29.8187,29.8067,29.7885,29.9908,0,30.0002
29.8294,29.8174,29.7995,30.0014,0,30.0135
