635nm,520nm,405nm,target
29.6905,29.6772,29.6554,0
29.7179,29.7063,29.6852,0
29.7037,29.6898,29.6677,0
29.719,29.708,29.6881,0
29.7552,29.744,29.7226,0
29.754,29.7426,29.7215,0
29.749,29.7377,29.7168,0
29.7633,29.753,29.7334,0
29.7775,29.7672,29.7471,0
29.7734,29.7602,29.7393,0
29.7864,29.774,29.754,0
29.8044,29.7929,29.7712,0
29.8211,29.8103,29.7897,0
29.8229,29.811,29.7891,0
29.8394,29.8279,29.8076,0
29.8346,29.8207,29.7984,0
29.8632,29.8493,29.8297,0
29.8703,29.8573,29.8352,0
29.8638,29.8507,29.8295,0
29.8722,29.859,29.8385,0
29.9035,29.8926,29.8702,0
29.9185,29.9085,29.8885,0
29.9306,29.9195,29.8973,0
29.9439,29.9321,29.9102,0
29.9462,29.9324,29.9106,0
29.9363,29.9259,29.9038,0
29.9497,29.9362,29.9147,0
29.9559,29.9447,29.9244,0
29.9978,29.9866,29.9668,0
29.9715,29.9595,29.9372,0
29.9896,29.9758,29.9561,0
30.016,30.0055,29.9851,0
30.023,30.0116,29.9892,0
30.0413,30.0274,30.0049,0
30.0427,30.0313,30.0117,0
30.0564,30.0461,30.0258,0
30.0724,30.0605,30.0383,0
30.0721,30.0582,30.0365,0
30.0923,30.0809,30.0598,0
30.1074,30.0941,30.0721,0
30.1158,30.1046,30.0828,0
30.1187,30.106,30.0851,0
30.1319,30.1214,30.0994,0
30.113,30.1017,30.0814,0
30.1534,30.1434,30.1238,0
30.1427,30.13,30.1077,0
30.1544,30.1418,30.1198,0
30.1523,30.1398,30.1202,0
30.1732,30.1628,30.1412,0
30.1752,30.1631,30.143,0
30.2098,30.1973,30.1756,0
30.2289,30.2177,30.1956,0
30.2024,30.1901,30.1701,0
30.2446,30.2341,30.2131,0
30.2497,30.2386,30.2172,0
30.2514,30.2392,30.2171,0
30.2534,30.2423,30.2206,0
30.2515,30.24,30.2178,0
30.2638,30.2537,30.2337,0
30.2808,30.2694,30.2487,0
30.2806,30.2695,30.2485,0
30.319,30.3088,30.287,0
30.3076,30.297,30.2747,0
30.3106,30.2999,30.2777,0
30.3531,30.3413,30.3189,0
30.3526,30.3406,30.3209,0
30.3759,30.3631,30.3407,0
30.3647,30.3519,30.3318,0
30.3614,30.3483,30.3268,0
30.3826,30.3707,30.3491,0
30.3944,30.3815,30.3616,0
30.4056,30.3926,30.3719,0
30.4174,30.4064,30.3862,0
30.4182,30.407,30.3865,0
30.4588,30.4453,30.4245,0
30.464,30.4532,30.4313,0
30.4429,30.4325,30.4111,0
30.4526,30.4408,30.4205,0
30.488,30.4779,30.4555,0
30.4879,30.4751,30.453,0
30.4906,30.4781,30.458,0
30.4924,30.4791,30.457,0
30.5255,30.5138,30.4919,0
30.5312,30.5174,30.4963,0
30.5445,30.5329,30.5108,0
30.5361,30.5257,30.5041,0
30.5407,30.5272,30.5052,0
30.57,30.5576,30.5352,0
30.5606,30.5475,30.5265,0
30.6027,30.591,30.5698,0
30.6004,30.5893,30.5672,0
30.603,30.5926,30.5715,0
30.6276,30.615,30.5952,0
30.6171,30.6035,30.5817,0
30.6321,30.6198,30.5979,0
30.6427,30.6324,30.6102,0
30.6686,30.6553,30.6353,0
30.689,30.6772,30.6547,0
30.6981,30.6876,30.6655,0
30.6885,30.6766,30.6555,0
30.7089,30.697,30.6767,0
29.8187,29.8067,29.7885,0
29.8294,29.8174,29.7995,0
29.8379,29.8263,29.8079,0
29.848,29.835,29.8166,0
29.8588,29.8459,29.8273,0
29.8696,29.8566,29.839,0
29.8801,29.8682,29.8506,0
29.8888,29.8769,29.8583,0
29.8997,29.8883,29.8701,0
29.9097,29.8978,29.8798,0
29.9191,29.9073,29.8893,0
29.9282,29.9167,29.899,0
29.94,29.9276,29.9098,0
29.9496,29.9379,29.9196,0
29.96,29.9472,29.9288,0
29.9696,29.9572,29.9388,0
29.9797,29.9666,29.9486,0
29.9877,29.9757,29.9572,0
29.999,29.9867,29.9687,0
30.0077,29.9962,29.9779,0
30.0176,30.0049,29.9863,0
30.0301,30.0189,30.001,0
30.038,30.0258,30.0079,0
30.0477,30.0362,30.0185,0
30.0578,30.0451,30.0274,0
30.0689,30.0577,30.0401,0
30.0784,30.0654,30.0468,0
30.0886,30.0768,30.0585,0
30.0976,30.0857,30.0673,0
30.1089,30.0978,30.0794,0
30.1184,30.1057,30.0877,0
30.1284,30.1168,30.0983,0
30.1383,30.1266,30.1084,0
30.149,30.1377,30.1192,0
30.1588,30.1461,30.128,0
30.1689,30.1568,30.1385,0
30.1793,30.1675,30.1496,0
30.188,30.1764,30.1585,0
30.1989,30.187,30.1694,0
30.21,30.1984,30.1802,0
30.2194,30.2078,30.1901,0
30.23,30.2185,30.2001,0
30.2394,30.2275,30.2097,0
30.2483,30.2369,30.2188,0
30.2599,30.2471,30.2294,0
30.2702,30.2585,30.2409,0
30.2799,30.2668,30.2483,0
30.2885,30.2755,30.2574,0
30.2994,30.2875,30.2695,0
30.3102,30.2976,30.2799,0
30.3193,30.3077,30.2894,0
30.3293,30.318,30.3001,0
30.3383,30.3265,30.308,0
30.3477,30.3365,30.3184,0
30.3582,30.3465,30.328,0
30.3679,30.3555,30.337,0
30.3793,30.3667,30.3482,0
30.3899,30.3779,30.3598,0
30.3994,30.3873,30.3694,0
30.4096,30.3972,30.3795,0
30.4189,30.4065,30.3883,0
30.4288,30.4167,30.399,0
30.44,30.4288,30.4111,0
30.4483,30.4358,30.4174,0
30.4583,30.4456,30.428,0
30.468,30.4562,30.438,0
30.4801,30.4687,30.4507,0
30.4883,30.4762,30.4582,0
30.499,30.4865,30.4686,0
30.5095,30.4973,30.4789,0
30.5187,30.5057,30.4881,0
30.5288,30.5159,30.4978,0
30.5394,30.5271,30.509,0
30.5488,30.5367,30.5186,0
30.5602,30.549,30.5306,0
30.5688,30.5575,30.5394,0
30.5789,30.5671,30.5487,0
30.5876,30.5761,30.5585,0
30.5988,30.5873,30.5695,0
30.6089,30.5975,30.5793,0
30.6181,30.6069,30.5888,0
30.6281,30.6166,30.5988,0
30.6392,30.6266,30.6083,0
30.6477,30.6352,30.6168,0
30.6587,30.6461,30.6284,0
30.6698,30.6575,30.6391,0
30.6777,30.6665,30.6487,0
30.6888,30.6763,30.6584,0
30.6997,30.6884,30.6704,0
30.7092,30.6979,30.6802,0
30.7183,30.7057,30.6873,0
30.7293,30.7167,30.699,0
30.738,30.7257,30.7078,0
30.7496,30.7375,30.7195,0
30.7591,30.7478,30.7302,0
30.768,30.7562,30.7381,0
30.7796,30.7678,30.7498,0
30.7878,30.7751,30.7574,0
30.7978,30.7857,30.7679,0
30.8082,30.7969,30.7791,0
30.8194,30.8072,30.7888,0
29.8913,29.8828,29.8668,0
29.9032,29.8952,29.879,0
29.9128,29.9039,29.8879,0
29.9197,29.9111,29.8949,0
29.9302,29.9222,29.9063,0
29.94,29.9322,29.9162,0
29.9463,29.9378,29.9218,0
29.9571,29.9486,29.9325,0
29.9657,29.9569,29.9412,0
29.9767,29.9691,29.9529,0
29.9899,29.9815,29.9654,0
30.003,29.9946,29.9791,0
30.014,30.0055,29.9894,0
30.022,30.0145,29.9989,0
30.0263,30.0184,30.0023,0
30.0403,30.0327,30.0171,0
30.0475,30.0389,30.0231,0
30.0649,30.0564,30.0399,0
30.0735,30.0655,30.0495,0
30.0845,30.0762,30.0606,0
30.0923,30.0834,30.0678,0
30.1025,30.0946,30.0782,0
30.1073,30.0993,30.0835,0
30.121,30.1129,30.0972,0
30.1304,30.1215,30.1051,0
30.1362,30.1275,30.1119,0
30.1462,30.1381,30.1225,0
30.1592,30.1513,30.1349,0
30.175,30.1666,30.1502,0
30.1779,30.1702,30.1542,0
30.1932,30.1851,30.1691,0
30.1995,30.1907,30.175,0
30.2116,30.2033,30.1873,0
30.22,30.2114,30.1953,0
30.2277,30.2194,30.2037,0
30.236,30.2279,30.212,0
30.2473,30.239,30.2231,0
30.257,30.2484,30.2326,0
30.2714,30.2626,30.2468,0
30.2769,30.2693,30.253,0
30.2855,30.2778,30.2617,0
30.2981,30.2892,30.2729,0
30.3138,30.306,30.2899,0
30.3176,30.309,30.2929,0
30.3338,30.3257,30.3096,0
30.3392,30.3308,30.3148,0
30.3531,30.3441,30.3283,0
30.3607,30.3518,30.3358,0
30.3708,30.3624,30.3461,0
30.3828,30.3751,30.3588,0
30.3859,30.3775,30.3618,0
30.4004,30.3916,30.3758,0
30.4079,30.3996,30.384,0
30.4192,30.4113,30.3955,0
30.4303,30.4215,30.406,0
30.4422,30.4342,30.4185,0
30.4546,30.4458,30.4298,0
30.4575,30.4495,30.434,0
30.4673,30.4597,30.4432,0
30.4833,30.4751,30.4595,0
30.485,30.4763,30.4606,0
30.4974,30.4886,30.4721,0
30.5065,30.4982,30.4826,0
30.5166,30.5089,30.4931,0
30.5267,30.5183,30.5021,0
30.5441,30.5363,30.5199,0
30.547,30.5383,30.5218,0
30.5599,30.5518,30.5355,0
30.5704,30.5625,30.5467,0
30.5825,30.5736,30.558,0
30.5888,30.5803,30.5646,0
30.5968,30.5882,30.5721,0
30.6101,30.6026,30.5865,0
30.6231,30.6144,30.5985,0
30.6348,30.6267,30.6109,0
30.6438,30.6352,30.619,0
30.6531,30.6448,30.6287,0
30.6573,30.6497,30.6339,0
30.6707,30.6628,30.6472,0
30.6832,30.6745,30.6587,0
30.6851,30.6764,30.6604,0
30.6961,30.6875,30.6716,0
30.7113,30.7036,30.6879,0
30.7218,30.7142,30.6987,0
30.7338,30.7255,30.71,0
30.7376,30.7294,30.7137,0
30.7544,30.746,30.7297,0
30.7635,30.7552,30.7392,0
30.7738,30.7659,30.7501,0
30.7838,30.7749,30.7587,0
30.7878,30.779,30.7632,0
30.7977,30.7899,30.7736,0
30.8133,30.8051,30.7896,0
30.8195,30.8109,30.795,0
30.8341,30.8261,30.81,0
30.836,30.8284,30.8122,0
30.8474,30.8398,30.8237,0
30.8578,30.8495,30.8331,0
30.8728,30.864,30.8484,0
30.8753,30.867,30.8509,0
30.8908,30.8831,30.8668,0
29.4867,29.4675,29.4459,1
29.4715,29.452,29.4279,1
29.5093,29.4911,29.4701,1
29.5117,29.492,29.4671,1
29.5192,29.4999,29.4797,1
29.5111,29.4915,29.4697,1
29.5389,29.519,29.4944,1
29.5582,29.5395,29.5171,1
29.5416,29.5217,29.4998,1
29.5613,29.542,29.5181,1
29.5872,29.569,29.5483,1
29.5751,29.5565,29.5355,1
29.6005,29.5818,29.5581,1
29.609,29.5896,29.5663,1
29.6032,29.5837,29.5602,1
29.6242,29.6057,29.5848,1
29.6351,29.617,29.5942,1
29.6347,29.6163,29.5927,1
29.6404,29.6205,29.5979,1
29.6449,29.6252,29.6046,1
29.6771,29.6577,29.6346,1
29.6963,29.6779,29.6546,1
29.6908,29.671,29.6494,1
29.6909,29.6722,29.6488,1
29.7128,29.6946,29.6704,1
29.7113,29.6923,29.6717,1
29.7246,29.7062,29.6826,1
29.7336,29.7149,29.6932,1
29.7318,29.7138,29.6916,1
29.7569,29.7382,29.7172,1
29.7979,29.7799,29.7569,1
29.8048,29.7859,29.7629,1
29.7717,29.752,29.7287,1
29.813,29.7941,29.772,1
